doc_id	pathway_mention	rb_label
11158054	cAMP pathway	ATC|FTC
20596658	ABC transporters	ATC
16263821	Adherens junction	ATC
14654945	Adipogenesis	ATC
19727716	Ad-p53 transduction	ATC
17317825	Akt pathway	ATC
23598436	Akt pathway	ATC
16001179	Angiogenesis	ATC
16001179	Angiogenesis	ATC
16154259	Angiogenesis	ATC
16943578	Angiogenesis	ATC|FTC
17575107	Angiogenesis	ATC
17575107	Angiogenesis	ATC
17575107	Angiogenesis	ATC
2651830	Angiogenesis	ATC
17429874	Angiogenesis	ATC
21220477	Angiogenesis	ATC
23135100	Angiogenesis	ATC
23135100	Angiogenesis	ATC
22918703	Angiogenesis	ATC
19158360	Angiogenesis	ATC
19158360	Angiogenesis	ATC
19158360	Angiogenesis	ATC
19158360	Angiogenesis	ATC
16474910	Angiogenesis	ATC
15658667	Angiogenesis	ATC
20053778	Angiogenesis	ATC
20053778	Angiogenesis	ATC
11297616	Angiogenesis	ATC
11297616	Angiogenesis	ATC
11297616	Angiogenesis	ATC
11297616	Angiogenesis	ATC
9314059	Angiogenesis	ATC
9314059	Angiogenesis	ATC
22919068	Angiogenesis	ATC
12490072	Angiogenesis	ATC
12490072	Angiogenesis	ATC
17671138	Angiogenesis	ATC
9768682	Angiogenesis	ATC
9768682	Angiogenesis	ATC
9768682	Angiogenesis	ATC
9768682	Angiogenesis	ATC
18423422	Angiogenesis	ATC
19854299	Angiogenesis	ATC
19854299	Angiogenesis	ATC
19854299	Angiogenesis	ATC
19854299	Angiogenesis	ATC
16093430	Angiogenesis	ATC
20628483	Angiogenesis	ATC
11297616	Angiogenesis	ATC
17431111	Angiogenesis	ATC
23598436	Angiogenesis	ATC
21389145	Apoptosis	ATC
21389145	Apoptosis	ATC
16001179	Apoptosis	ATC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
12915687	Apoptosis	ATC
12915687	Apoptosis	ATC
12915687	Apoptosis	ATC
16899627	Apoptosis	ATC
11272092	Apoptosis	ATC
16263821	Apoptosis	ATC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
