doc_id	pathway_mention	rb_label
11158054	cAMP pathway	ATC|FTC
21974806	Akt/FOXO3a pathway	FTC
20062085	AKT-mTOR-p70 S6K pathway	FTC
17426084	Akt pathway	FTC
22136270	Akt pathway	PTC|FTC
17397984	Angiogenesis	FTC
11272096	Angiogenesis	FTC
17374490	Angiogenesis	PTC|FTC
16943578	Angiogenesis	ATC|FTC
15972966	Angiogenesis	FTC
20187783	Angiogenesis	FTC
20187783	Angiogenesis	FTC
20187783	Angiogenesis	FTC
22369326	Angiogenesis	HCTC|PTC|FTC
22530159	Angiogenesis	PTC|FTC
14960641	Angiogenesis	FTC
17219991	Angiogenesis	PTC|FTC
17219991	Angiogenesis	PTC|FTC
17219991	Angiogenesis	PTC|FTC
21167375	Angiogenesis	PTC|FTC
14605010	Angiogenesis	FTC
14605010	Angiogenesis	FTC
14605010	Angiogenesis	FTC
14605010	Angiogenesis	FTC
14605010	Angiogenesis	FTC
15707585	Angiogenesis	FTC
10862021	Angiogenesis	FTC
10862021	Angiogenesis	FTC
10862021	Angiogenesis	FTC
12148586	Angiogenesis	FTC
12148586	Angiogenesis	FTC
12148586	Angiogenesis	FTC
17127711	Angiogenesis	FTC
17127711	Angiogenesis	FTC
19258410	Angiogenesis	MTC|PTC|FTC
17185801	Angiogenesis	FTC
17185801	Angiogenesis	FTC
15338719	Angiogenesis	PTC|FTC
23898059	Angiogenesis	PTC|FTC
22078085	Angiogenesis	MTC|PTC|FTC
18661355	Angiogenesis	PTC|FTC
20142332	Angiogenesis	PTC|FTC
20142332	Angiogenesis	PTC|FTC
23259327	Angiogenesis	FTC
12193566	Angiogenesis	FTC
23824493	Angiogenesis	FTC
23824493	Angiogenesis	FTC
20205098	Angiogenesis	PTC|FTC
8888801	Angiogenesis	FTC
17185801	Angiogenesis	FTC
12193566	Angiogenesis	FTC
21974806	Apoptosis	FTC
21974806	Apoptosis	FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
11272096	Apoptosis	FTC
22901190	Apoptosis	FTC
18648806	Apoptosis	PTC|FTC
18648806	Apoptosis	PTC|FTC
18648806	Apoptosis	PTC|FTC
16613343	Apoptosis	ATC|PTC|FTC
18409152	Apoptosis	PTC|FTC
21865726	Apoptosis	FTC
12975039	Apoptosis	FTC
19513386	Apoptosis	FTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
11889192	Apoptosis	PTC|FTC
20668010	Apoptosis	FTC
20668010	Apoptosis	FTC
17188145	Apoptosis	PTC|FTC
22654559	Apoptosis	PTC|FTC
16613808	Apoptosis	ATC|PTC|FTC
19027085	Apoptosis	FTC
19027085	Apoptosis	FTC
22903648	Apoptosis	FTC
17493239	Apoptosis	FTC
17493239	Apoptosis	FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
16531921	Apoptosis	PTC|FTC
21643629	Apoptosis	PTC|FTC
18727708	Apoptosis	FTC
18727708	Apoptosis	FTC
18727708	Apoptosis	FTC
15379724	Apoptosis	FTC
15379722	Apoptosis	FTC
15379722	Apoptosis	FTC
15379722	Apoptosis	FTC
15379722	Apoptosis	FTC
15379722	Apoptosis	FTC
17122638	Apoptosis	FTC
17122638	Apoptosis	FTC
17122639	Apoptosis	FTC
16260429	Apoptosis	FTC
23236561	Apoptosis	PTC|FTC
19014326	Apoptosis	PTC|FTC
19014326	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
17174366	Apoptosis	PTC|FTC
22438958	Apoptosis	PTC|FTC
22438958	Apoptosis	PTC|FTC
22438958	Apoptosis	PTC|FTC
16249278	Apoptosis	FTC
24171036	Apoptosis	PTC|FTC
19723757	Apoptosis	ATC|PTC|FTC
16619520	Apoptosis	FTC
16619520	Apoptosis	FTC
16619520	Apoptosis	FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
23790177	Apoptosis	PTC|FTC
16740767	Apoptosis	FTC
21214672	Apoptosis	ATC|FTC|PDTC
15930290	Apoptosis	FTC
15930290	Apoptosis	FTC
21196179	Apoptosis	FTC
24213562	Apoptosis	FTC
