pmid	gene_id	Symbol
18601742	10	NAT2
19118072	10	NAT2
19169061	10	NAT2
20186503	10000	AKT3
21487925	10000	AKT3
12021924	1001	CDH3
14715875	10011	SRA1
21998631	100126299	VTRNA2-1
22185756	100126355	MIR365A
21956414	100144748	KLLN
20587907	100271918	MKI67P1
19147577	100302522	PTCSC1
23609190	100422910	MIR2861
17962811	100506658	OCLN
22761434	100506658	OCLN
17145811	10053	AP1M2
15319359	10062	NR1H3
22586128	100886964	PTCSC3
17415708	100996569	NAMA
23898059	10135	NAMPT
22028439	1014	CDH16
15630448	10142	AKAP9
8093642	10151	HNRNPA3P1
23645532	10155	TRIM28
9380504	10168	ZNF197
16601140	1019	CDK4
18799615	1019	CDK4
17145757	1020	CDK5
24135281	1020	CDK5
17909067	1021	CDK6
21134562	10253	SPRY2
24094449	10253	SPRY2
10891505	1026	CDKN1A
15709169	1026	CDKN1A
17188136	1026	CDKN1A
18509005	1026	CDKN1A
18766473	1026	CDKN1A
23376845	1026	CDKN1A
10891505	1027	CDKN1B
10918569	1027	CDKN1B
12860294	1027	CDKN1B
14586408	1027	CDKN1B
14666612	1027	CDKN1B
15718252	1027	CDKN1B
15743786	1027	CDKN1B
17188136	1027	CDKN1B
17685465	1027	CDKN1B
17914108	1027	CDKN1B
18032931	1027	CDKN1B
18288099	1027	CDKN1B
18766473	1027	CDKN1B
18925698	1027	CDKN1B
19461157	1027	CDKN1B
20075119	1027	CDKN1B
21177330	1027	CDKN1B
22553813	1027	CDKN1B
11891530	1028	CDKN1C
10891505	1029	CDKN2A
12924440	1029	CDKN2A
15757201	1029	CDKN2A
17117177	1029	CDKN2A
17195959	1029	CDKN2A
18766473	1029	CDKN2A
20535589	1029	CDKN2A
23218882	1029	CDKN2A
23497965	1029	CDKN2A
17909067	1030	CDKN2B
18316595	1031	CDKN2C
18942719	1031	CDKN2C
19730683	10313	RTN3
7565764	10342	TFG
9169129	10342	TFG
12237775	10342	TFG
22007921	10399	GNB2L1
23685355	10413	YAP1
19903741	10417	SPON2
20518411	1045	CDX2
22523209	1045	CDX2
23488912	1045	CDX2
17914111	10460	TACC3
11518802	10499	NCOA2
18682709	1051	CEBPB
14763921	10563	CXCL13
17091453	10568	SLC34A2
18434370	10631	POSTN
19321256	10631	POSTN
21290209	10631	POSTN
19449140	10643	IGF2BP3
20562850	10643	IGF2BP3
10625678	10664	CTCF
19291294	10673	TNFSF13B
20198314	10724	MGEA5
19268442	10763	NES
21151388	10763	NES
11716500	10769	PLK2
21509594	10776	ARPP19
6207569	1081	CGA
19730683	1081	CGA
22278420	1081	CGA
12586769	10817	FRS3
14676122	10855	HPSE
20578902	10885	WDR3
23049746	10885	WDR3
12782409	109	ADCY3
11344221	10911	UTS2
21509594	10940	POP1
12860294	10987	COPS5
14666612	10987	COPS5
19461157	10987	COPS5
8057782	1103	CHAT
19835629	11054	OGFR
16106252	11065	UBE2C
18753363	11065	UBE2C
15980887	11186	RASSF1
19799084	11186	RASSF1
20535589	11186	RASSF1
22694820	11186	RASSF1
23192464	11186	RASSF1
24383114	11186	RASSF1
10978539	112	ADCY6
12782409	112	ADCY6
22161024	11214	AKAP13
18430896	11315	PARK7
11438887	114568	NMTC1
14576188	114569	MAL2
17145811	114569	MAL2
19730683	115908	CTHRC1
23861775	1164	CKS2
15085203	116496	FAM129A
16444351	116496	FAM129A
16949643	116496	FAM129A
21520112	116496	FAM129A
22157935	116496	FAM129A
8557195	117156	SCGB3A2
21220347	120892	LRRK2
19731977	1232	CCR3
18696160	1236	CCR7
19731977	1236	CCR7
19259350	1277	COL1A1
17909067	1312	COMT
19804365	1326	MAP3K8
19730683	133396	IL31RA
12139968	135112	NCOA7
17962811	1364	CLDN4
17962811	1366	CLDN7
12640681	1381	CRABP1
15515157	1381	CRABP1
10650954	1385	CREB1
12720543	1385	CREB1
20498639	1385	CREB1
22271686	1385	CREB1
20498639	1386	ATF2
20956942	1386	ATF2
22510021	1390	CREM
15546898	141	ADPRH
18779313	142	PARP1
22982218	142	PARP1
16153436	1432	MAPK14
16924234	1432	MAPK14
21615302	143662	MUC15
