doc_id	pathway_mention	rb_label
22942242	ERK1/2 pathway	MTC
16029117	achaete-scute homologue-1 pathway	MTC
23158190	Akt/mTOR prosurvival pathway	MTC
19815051	AKT-mTOR-p70 S6K pathway	MTC
24256343	Akt pathway	MTC
23822199	Akt pathway	MTC
23150029	Akt pathway	MTC
23170308	Angiogenesis	MTC
20127950	Angiogenesis	MTC
23509459	Angiogenesis	MTC
20133461	Angiogenesis	MTC
20133461	Angiogenesis	MTC
20133461	Angiogenesis	MTC
20133461	Angiogenesis	MTC
23150029	Angiogenesis	MTC
22343387	Angiogenesis	MTC
18084343	Angiogenesis	MTC
10200298	Angiogenesis	MTC
10200298	Angiogenesis	MTC
19258410	Angiogenesis	MTC|PTC|FTC
22078085	Angiogenesis	MTC|PTC|FTC
16756963	Angiogenesis	MTC
16756963	Angiogenesis	MTC
21422803	Angiogenesis	MTC
21422803	Angiogenesis	MTC
8782200	Angiogenesis	MTC
8782200	Angiogenesis	MTC
8782200	Angiogenesis	MTC
8782200	Angiogenesis	MTC
23902240	Angiogenesis	MTC
19035299	Apoptosis	MTC
19035299	Apoptosis	MTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
23900743	Apoptosis	MTC
12089864	Apoptosis	MTC
21741956	Apoptosis	MTC
21741956	Apoptosis	MTC
21741956	Apoptosis	MTC
21741956	Apoptosis	MTC
21741956	Apoptosis	MTC
21741956	Apoptosis	MTC
23158190	Apoptosis	MTC
23158190	Apoptosis	MTC
23158190	Apoptosis	MTC
19394967	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
18075281	Apoptosis	MTC
18520232	Apoptosis	MTC
18520232	Apoptosis	MTC
18520232	Apoptosis	MTC
18520232	Apoptosis	MTC
18791128	Apoptosis	MTC
18791128	Apoptosis	MTC
20133461	Apoptosis	MTC
22776298	Apoptosis	MTC
11037345	Apoptosis	MTC
11037345	Apoptosis	MTC
11037345	Apoptosis	MTC
11037345	Apoptosis	MTC
11037345	Apoptosis	MTC
24276455	Apoptosis	MTC
24276455	Apoptosis	MTC
24276455	Apoptosis	MTC
24276455	Apoptosis	MTC
23410206	Apoptosis	MTC
19707315	Apoptosis	MTC
19707315	Apoptosis	MTC
23329180	Apoptosis	MTC
23329180	Apoptosis	MTC
23329180	Apoptosis	MTC
17951536	Apoptosis	MTC
12869215	Apoptosis	MTC
18508109	Apoptosis	MTC
23150029	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
10614665	Apoptosis	MTC
21973234	Apoptosis	MTC
15705875	Apoptosis	MTC
15316058	Apoptosis	MTC
9075733	Apoptosis	MTC
11948421	Apoptosis	MTC
11948421	Apoptosis	MTC
11948421	Apoptosis	MTC
11948421	Apoptosis	MTC
9626044	Apoptosis	MTC
21184191	Apoptosis	MTC
21184191	Apoptosis	MTC
22109971	Apoptosis	MTC
15240638	Apoptosis	MTC
15240638	Apoptosis	MTC
15240638	Apoptosis	MTC
15240638	Apoptosis	MTC
11045428	Apoptosis	MTC
20704575	Apoptosis	MTC
16756963	Apoptosis	MTC
16819281	Apoptosis	MTC
16819281	Apoptosis	MTC
16819281	Apoptosis	MTC
16819281	Apoptosis	MTC
16819281	Apoptosis	MTC
17848408	Apoptosis	ATC|MTC
17848408	Apoptosis	ATC|MTC
17848408	Apoptosis	ATC|MTC
12490846	Apoptosis	MTC
7956909	Apoptosis	MTC
12944480	Apoptosis	MTC
23828865	Apoptosis	MTC|PTC|FTC
15152949	Apoptosis	MTC
19815051	Apoptosis	MTC
16849420	Apoptosis	ATC|MTC
16849420	Apoptosis	ATC|MTC
16782438	Apoptosis	MTC
15240641	Apoptosis	MTC
17188151	Apoptosis	MTC
19372564	Apoptosis	MTC
18563491	Apoptosis	MTC
23056499	Apoptosis	PTC|MTC
10999773	Apoptosis	MTC
15805688	Apoptosis	MTC
18305053	Apoptosis	MTC
18305053	Apoptosis	MTC
22305971	Apoptosis	MTC
22305971	Apoptosis	MTC
23509102	Apoptosis	MTC
10414462	Apoptosis	MTC
21943074	Apoptosis	MTC
21943074	Apoptosis	MTC
24346019	Apoptosis	MTC
17897902	Apoptosis	MTC
22374978	Apoptosis	MTC
22374978	Apoptosis	MTC
19035299	Apoptosis	MTC
12114678	Apoptosis	MTC
12114678	Apoptosis	MTC
17951536	Apoptosis	MTC
21973234	Apoptosis	MTC
15316058	Apoptosis	MTC
15152949	Apoptosis	MTC
17188151	Apoptosis	MTC
21741956	Apoptosis	MTC
2859145	bone remodeling	MTC
2859145	bone remodeling	MTC
8363884	bone remodeling	MTC
7121251	bone remodeling	MTC
6611007	bone remodeling	MTC
6611007	bone remodeling	MTC
6611007	bone remodeling	MTC
6611007	bone remodeling	MTC
10807059	BSE and/or transduction	MTC
19215381	Ca2+/calmodulin pathway	MTC
3498624	Ca2+ pathway	MTC
10612479	Ca2+ pathway	MTC
17209045	Ras/ERK1/2 pathway	MTC
19707315	caspase pathway	MTC
22942242	CaSR-stimulated pathway	MTC
21883896	Cell cycle	MTC
22048975	Cell cycle	MTC
16095809	Cell cycle	MTC
15572361	Cell cycle	MTC
16601140	Cell cycle	MTC
16601140	Cell cycle	MTC
16601140	Cell cycle	MTC
18791128	Cell cycle	MTC
18791128	Cell cycle	MTC
18791128	Cell cycle	MTC
18791128	Cell cycle	MTC
17090547	Cell cycle	MTC
