doc_id	pathway_mention	rb_label
8957475	cAMP pathway	PTC
18676742	BRAF/MEK/ERK pathway	PTC
22136270	Akt pathway	PTC|FTC
18682509	Akt pathway	PTC
18682509	Akt pathway	PTC
15378648	Akt pathway	PTC
21903858	Akt pathway	PTC
22253131	ALOX5/MMP9 pathway	PTC
23904275	AMPK pathway	PTC
23904275	AMPK pathway	PTC
11331447	Angiogenesis	PTC
17374490	Angiogenesis	PTC|FTC
21503841	Angiogenesis	PTC
12752224	Angiogenesis	PTC
19759871	Angiogenesis	PTC
12533838	Angiogenesis	PTC
15041723	Angiogenesis	PTC
14555660	Angiogenesis	PTC
8291446	Angiogenesis	PTC
22369326	Angiogenesis	HCTC|PTC|FTC
22530159	Angiogenesis	PTC|FTC
16859137	Angiogenesis	PTC
16859137	Angiogenesis	PTC
16859137	Angiogenesis	PTC
15693548	Angiogenesis	PTC
21042739	Angiogenesis	PTC
22432054	Angiogenesis	PTC
9068103	Angiogenesis	PTC
15690202	Angiogenesis	PTC
18597952	Angiogenesis	PTC
10821490	Angiogenesis	PTC
10821490	Angiogenesis	PTC
17219991	Angiogenesis	PTC|FTC
17219991	Angiogenesis	PTC|FTC
17219991	Angiogenesis	PTC|FTC
21167375	Angiogenesis	PTC|FTC
21214962	Angiogenesis	PTC
12006528	Angiogenesis	PTC
9769366	Angiogenesis	PTC
9769366	Angiogenesis	PTC
23718885	Angiogenesis	PTC
22649416	Angiogenesis	PTC
12947323	Angiogenesis	PTC
19258410	Angiogenesis	MTC|PTC|FTC
15338719	Angiogenesis	PTC|FTC
23898059	Angiogenesis	PTC|FTC
22711876	Angiogenesis	PTC
22711876	Angiogenesis	PTC
22711876	Angiogenesis	PTC
22711876	Angiogenesis	PTC
22711876	Angiogenesis	PTC
22078085	Angiogenesis	MTC|PTC|FTC
18661355	Angiogenesis	PTC|FTC
18583418	Angiogenesis	PTC
15475935	Angiogenesis	PTC
20142332	Angiogenesis	PTC|FTC
20142332	Angiogenesis	PTC|FTC
23528368	Angiogenesis	PTC
20473281	Angiogenesis	PTC
21897114	Angiogenesis	PTC
21339735	Angiogenesis	PTC
21339735	Angiogenesis	PTC
15962085	Angiogenesis	PTC
15962085	Angiogenesis	PTC
21400522	Angiogenesis	PTC
20205098	Angiogenesis	PTC|FTC
10821490	Angiogenesis	PTC
12006528	Angiogenesis	PTC
9769366	Angiogenesis	PTC
15962085	Angiogenesis	PTC
15962085	Angiogenesis	PTC
22120515	Apoptosis	PTC
22120515	Apoptosis	PTC
20629553	Apoptosis	PTC
20955590	Apoptosis	PTC
19825987	Apoptosis	PTC
19825987	Apoptosis	PTC
19825987	Apoptosis	PTC
19825987	Apoptosis	PTC
19825987	Apoptosis	PTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
15475567	Apoptosis	ATC|MTC|PTC|FTC
16438077	Apoptosis	PTC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
23231932	Apoptosis	PTC|ATC
11704822	Apoptosis	PTC
20804548	Apoptosis	PTC
21503841	Apoptosis	PTC
21503841	Apoptosis	PTC
15886500	Apoptosis	PTC
18648806	Apoptosis	PTC|FTC
18648806	Apoptosis	PTC|FTC
18648806	Apoptosis	PTC|FTC
21642358	Apoptosis	PTC
16613343	Apoptosis	ATC|PTC|FTC
18409152	Apoptosis	PTC|FTC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
23821365	Apoptosis	PTC|ATC
21478229	Apoptosis	PTC
21478229	Apoptosis	PTC
18581271	Apoptosis	PTC
12187333	Apoptosis	PTC
12187333	Apoptosis	PTC
12187333	Apoptosis	PTC
20972735	Apoptosis	PTC
