GENE	FREQ
BRAF	252
RET	235
NKX2-1	48
LGALS3	45
TSHR	40
SLC5A5	33
TG	32
THRB	30
PAX8	25
PPARG	24
THRA	22
TPO	21
TP53	21
HRAS	21
PTEN	19
CDKN1B	18
NRAS	16
KRAS	16
CCND1	16
AKT1	15
EGFR	15
VEGFA	14
KRT19	14
ESR1	14
CDH1	14
GSTM1	13
FOXE1	13
PIK3CA	12
GSTT1	12
CCDC6	11
FN1	11
VEGFC	10
STAT3	10
NCOR2	10
CTNNB1	10
PTTG1	9
SLC26A4	9
TERT	9
MMP2	9
CALCA	9
CDKN2A	9
XRCC1	8
NCOA4	8
GNAS	8
APC	8
CXCR4	8
PTGS2	7
SERPINB5	7
HIF1A	7
MET	7
KDR	7
GSTP1	7
NTRK1	7
MMP9	7
ESR2	7
RASSF1	6
TIMP1	6
TP63	6
TFF3	6
SMAD4	6
MIR221	6
IGF1	6
KIT	6
MTOR	6
MKI67	6
CDKN1A	6
BCL2	6
PLAU	5
SLC2A1	5
TP73	5
RARB	5
TGFB1	5
RELA	5
PLAUR	5
RXRA	5
PTK2	5
S100A4	5
SPP1	5
MIR146B	5
MLH1	5
HMGA2	5
MAPK1	5
MAPK3	5
FAS	5
FAM129A	5
FIGF	5
ERBB2	5
DIO2	5
THBS1	4
THADA	4
RUNX2	4
XRCC3	4
PTPRJ	4
TNFSF10	4
PLK1	4
SSTR2	4
MIR21	4
NCOR1	4
MTHFR	4
IL6	4
MIR146A	4
INSL3	4
MIR222	4
LCN2	4
NAPSA	4
NFKB1	4
HHEX	4
NOTCH1	4
AR	4
DUOX1	4
BSG	4
DPP4	4
BIRC5	4
EGF	4
GHRL	4
CYP1A1	4
FGFR2	4
CREB1	4
TNFRSF11B	3
POMC	3
TTF1	3
SDHD	3
TIMP3	3
SHC1	3
TNFSF11	3
RAP1GAP	3
PTCH1	3
SLC5A8	3
TIMP2	3
POSTN	3
TMSB10	3
XIAP	3
RUNX3	3
PRKAR1A	3
S100A10	3
PRKCA	3
PTTG1IP	3
RLN2	3
TFG	3
LGALS1	3
MYC	3
IL10	3
IL1B	3
NAT2	3
HNF1A	3
HDAC1	3
MCM3	3
MUC1	3
MDM2	3
LEP	3
ID1	3
LEPR	3
IGF1R	3
ITGB3	3
MAGEA3	3
HGF	3
HNF1B	3
ENPP2	3
DIO1	3
FXYD5	3
APEX1	3
DUSP6	3
ASCL1	3
FASLG	3
AXL	3
CYP24A1	3
BAG3	3
DUOX2	3
CD44	3
E2F1	3
CDX2	3
ERC1	3
CGA	3
FHIT	3
COPS5	3
GFRA1	3
GNAQ	3
CTGF	3
RXRG	2
SPRY2	2
UBE2C	2
SRC	2
SOX2	2
SSTR1	2
TSHB	2
SDHB	2
WDR3	2
RAD51	2
SNAI1	2
SSTR4	2
RASSF5	2
STAT1	2
SP1	2
SHH	2
SPHK1	2
STT3A	2
S100A6	2
SUMO1	2
WT1	2
SIRT7	2
TNC	2
PRKCD	2
ZNF331	2
XAF1	2
TNS3	2
S1PR1	2
PTH1R	2
TGFA	2
TPM3	2
RLN1	2
TRIP11	2
PPRC1	2
RB1	2
RPS6KB1	2
TWIST1	2
PRKDC	2
VDR	2
SERPINA5	2
RHOB	2
PRDX1	2
WNT5A	2
PKM	2
WWOX	2
SFN	2
XRCC4	2
PRKCE	2
RAF1	2
SSTR3	2
SMAD7	2
SNAI2	2
NME1	2
IDH1	2
PARP1	2
INSR	2
HLA-G	2
ITGAV	2
NQO1	2
ITGB2	2
PDGFRA	2
KCNIP3	2
NCAM1	2
LGALS3BP	2
NFE2L2	2
LIG4	2
IGF2BP3	2
MAL2	2
OCLN	2
MAP2K1	2
PDGFB	2
MAPK14	2
MT1G	2
MAPK8	2
NAA15	2
MDM4	2
NCOA1	2
MGMT	2
NES	2
MIR130B	2
HMGA1	2
GSTO1	2
NNMT	2
PIK3CG	2
NPM1	2
HLA-C	2
NR4A3	2
MMP1	2
P2RX7	2
MMP11	2
HMGB1	2
MMP7	2
PDGFC	2
HLA-DRB1	2
PHB	2
MSH3	2
MIR155	2
ALCAM	2
ATF2	2
FGFR4	2
CD86	2
CAV2	2
CD97	2
EZR	2
CDK4	2
FOXM1	2
CDK5	2
AKT2	2
ADRBK1	2
EPO	2
CDKN2C	2
ERRFI1	2
ATM	2
FASN	2
AURKA	2
FLT1	2
CLDN1	2
CCR7	2
AURKB	2
CD82	2
CRABP1	2
AKT3	2
ABCG2	2
EPCAM	2
GLP1R	2
