GENE	FREQ
TG	1554
RET	1081
CALCA	956
TSHB	550
TP53	380
BRAF	370
NKX2-1	288
TSHR	274
RASA1	246
TPO	231
SST	200
AKT1	198
PTCH1	188
LGALS3	185
PAX8	164
MAPK1	146
VEGFA	135
EGFR	132
TRH	125
BCL2	123
VIM	121
SLC5A5	112
NCOA4	112
EGF	108
TXK	100
KRT19	99
CCND1	97
PTEN	97
NTRK1	96
CDKN1A	95
PPARG	94
MYC	88
HRAS	86
IGF1	80
ENO2	78
POMC	78
PRL	77
CEACAM3	74
CDH1	73
HBE1	72
PTH	71
CEACAM19	71
PCNA	70
MKI67	67
CHGA	65
TNF	65
MAPK3	63
CASP3	62
RB1	62
TPCN1	61
PIK3CG	61
TGFB1	61
MET	60
MMP2	55
CCDC6	55
CDKN1B	53
PPARA	51
PPBP	51
F2R	50
INS	50
PIK3CB	50
ZHX2	50
NRAS	49
ESR1	48
FN1	47
GAST	46
SSSCA1	45
GH1	45
FIGF	44
KRAS	44
RHOT2	43
ACTN1	42
ERBB2	42
IL6	42
SLC25A5	41
KDR	41
BAX	40
TXNRD2	40
TP63	38
CD34	38
KRT20	38
FAS	37
CDKN2A	37
MTOR	37
MUC1	37
SYP	37
ALB	36
MMP9	36
IL2	35
APC	34
FOXE1	34
KRT1	34
MAP3K1	34
PTGS2	33
PIK3CA	33
HGF	32
MAP2K1	32
TERT	32
THRB	32
CD44	31
KRT7	31
SSTR1	31
ELL	31
CD4	30
SLC2A1	30
NFKB1	29
SERPINA7	29
THRA	29
TIMP1	29
VEGFC	29
KRT3	28
NCAM1	28
TKT	28
BCL2L1	27
CALCB	27
GNAS	27
CD8A	26
DPP4	26
POMT1	26
PLAU	26
PARP1	25
PTCH2	25
TNFSF10	25
IGF1R	25
KRT4	25
PGR	25
SERPINA1	25
CENPJ	25
TEP1	25
IL1B	24
MDM2	24
PECAM1	24
STAT3	24
FLT1	23
GCG	23
KIT	23
PDGFRB	23
SLC26A4	23
RRAS	23
MAPK8	22
ICAM1	22
IL8	22
RAF1	22
CASP8	21
DES	21
FGF2	21
MAPK6	21
MAP2K6	21
MAP2K7	21
PSMD9	21
S100B	21
SLC4A3	21
SLC4A1	21
TRNAS3	21
HMGA2	21
CDK2	20
HDAC9	20
KRT76	20
GLB1	20
GRP	20
IFNG	20
RARA	20
S100A1	20
CAT	19
CD5	19
CD68	19
PKP4	18
