GENE	FREQ
TG	1092
RET	755
CALCA	684
TP53	307
NKX2-1	215
BRAF	198
AKT1	173
SST	172
TPO	148
TSHR	134
LGALS3	134
PAX8	120
VEGFA	116
BCL2	108
TRH	102
PTCH1	96
VIM	92
PTEN	80
EGF	78
EGFR	75
MYC	67
PRL	67
PPARG	66
SLC5A5	63
PTH	62
KRT19	58
ENO2	58
POMC	57
NCOA4	54
PCNA	49
NTRK1	44
MMP2	41
CDKN1A	41
CD34	38
IGF1	37
CDKN1B	34
BAX	33
MAPK3	32
IL2	32
MMP9	31
FAS	31
TP63	31
GAST	31
MAPK1	31
IL6	29
CDKN2A	28
HRAS	28
CD44	27
ALB	26
SYP	26
FOXE1	25
CHGA	23
PLAU	23
TPCN1	22
HGF	22
KDR	22
MUC1	21
TERT	21
TGFB1	20
RAF1	20
ERBB2	19
SLC2A1	19
MDM2	18
KRAS	18
BCL2L1	18
SERPINA7	18
TIMP1	18
TNF	18
ICAM1	18
CXCR4	18
DPP4	18
NCAM1	17
KRT20	17
PIK3CA	16
LEP	16
TNFSF10	15
CDH1	15
PTGS2	15
DES	15
KIT	15
FN1	14
SPP1	14
NOTCH1	14
MAPK8	14
IL4	14
CITED1	13
STAT3	13
TFF3	13
MIR146B	13
CDK2	13
SLC26A4	13
CCDC6	13
VEGFC	13
IL8	13
KRT7	13
HMGA2	13
TF	12
GSTT1	12
GSTM1	12
HDAC9	12
GAPDH	11
SSTR2	11
NME1	11
CAT	11
TIMP2	11
RASSF1	11
MMP1	11
BRD2	11
DDIT3	11
E2F1	11
SMAD4	11
MET	10
APC	10
MYCN	10
POU5F1	10
NGF	10
CD68	10
HIF1A	10
CAV1	10
XRCC1	10
NCOR2	10
IGF1R	10
MIR222	10
PTPRC	10
RARA	10
RB1	10
S100A4	9
FUT4	9
CCND1	9
GNAS	9
MEN1	9
NRAS	9
PLK1	9
NAPSA	9
CYP19A1	9
SMAD2	9
FIGF	8
CXCL12	8
SLC4A3	8
MAP2K1	8
PTCH2	8
B3GAT1	8
SOD1	8
GH1	8
PROM1	8
CASP3	8
CCK	8
THBS1	8
PTTG1	8
PDGFRB	8
ABCB1	8
FHIT	8
CREB1	8
CRH	8
MIR221	8
IL1B	8
IL10	8
PTHLH	8
LIF	8
TP73	8
RPS6KB1	7
CD99	7
SHC1	7
G6PD	7
SOAT1	7
TFF1	7
GSTP1	7
TIMP3	7
CDX2	7
GRP	7
SERPINB5	7
ARG2	7
PPARA	7
ACE	7
PTK2	7
SMAD3	7
EPO	6
ERBB3	6
PARP1	6
SFTPA1	6
FLT1	6
SHBG	6
SKP2	6
SLC4A1	6
MME	6
SP1	6
BGLAP	6
CFLAR	6
CTNNB1	6
THRA	6
THRB	6
CD97	6
HHEX	6
HMGA1	6
XRCC3	6
IFNA1	6
NCOR1	6
SERPINE1	6
STT3A	6
LGALS1	6
SMAD7	6
AOC1	5
FGFR1	5
FOXO3	5
FLT4	5
ANGPT2	5
XIAP	5
AR	5
ASCL1	5
ATM	5
SSTR5	5
NTS	5
RUNX2	5
CCND2	5
CD5	5
THY1	5
CD40LG	5
CDKN1C	5
PDGFB	5
HNF4A	5
MLH1	5
PIK3R1	5
VDR	5
ID1	5
PRKAR1A	5
CTSB	5
RAC1	5
FAM129A	5
EP300	5
TPM3	4
PCSK2	4
MCL1	4
TFG	4
MIB1	4
MKI67	4
FGFR2	4
MMP3	4
MPO	4
ENPP2	4
MAPK14	4
SHH	4
BIRC2	4
MSH2	4
APP	4
SLC2A3	4
RHOH	4
FOXP3	4
GAS6	4
GDNF	4
STAT1	4
BSG	4
NFKB1	4
MIR21	4
TWIST1	4
COPS5	4
MIR375	4
CASR	4
TEK	4
TERC	4
GSK3B	4
COL18A1	4
TNFRSF8	4
CASP8	4
CYCS	4
CD79A	4
CDKN2B	4
CYP1A1	4
SERPINA1	4
ADIPOQ	4
PLAUR	4
ABCG2	4
HSP90AA1	4
IAPP	4
DUOX2	4
XRCC2	4
CREM	4
CTSD	4
GADD45A	4
CYP24A1	4
PTPRJ	4
DIO2	4
DNTT	4
LBR	4
HSPG2	4
EPHB2	3
ERBB4	3
NOS2	3
MBP	3
NCOA3	3
ETS1	3
MCM7	3
EWSR1	3
NDRG2	3
AXIN1	3
S100A6	3
AHR	3
CCL2	3
ALCAM	3
MMP8	3
MMP11	3
MMP14	3
MNG1	3
SDHD	3
NAA15	3
ANXA1	3
APAF1	3
APEX1	3
ANGPT1	3
MT1G	3
POSTN	3
TRIM33	3
SLC7A1	3
TNFSF11	3
MIR146A	3
MUC4	3
ERC1	3
AXL	3
SRC	3
GCG	3
SOCS1	3
SSTR3	3
BCR	3
GFRA1	3
GJA1	3
DUOX1	3
NFKBIA	3
BUB1	3
NNMT	3
PTTG1IP	3
CA9	3
RBL1	3
CXCR3	3
NTRK2	3
NTRK3	3
UBE2C	3
GRB2	3
CASP9	3
RUNX3	3
OGG1	3
P4HB	3
MGMT	3
SLC5A8	3
AIFM1	3
TP53BP1	3
CDK4	3
SOX2	3
NRG1	3
NES	3
HMGCR	3
TERF1	3
CXCL1	3
PGR	3
ZNF77	3
TYMS	3
CENPJ	3
NOS3	3
PKM	3
EDNRB	3
CCKBR	3
CCR7	3
CXCL10	3
EZR	3
MMP7	3
TNC	3
GDF15	3
NMTC1	3
BAG3	3
ID3	3
CP	3
CRABP1	3
MIRLET7F1	3
FXYD5	3
CSF2	3
CTGF	3
IL11	3
CD86	3
INSL3	3
CYP27B1	3
SSTR1	3
C8orf4	3
DAPK1	3
RASSF5	3
JUN	3
CD82	3
PTPRF	3
PXN	3
TCO	3
KRT17	3
MAMLD1	3
RELA	3
ECM1	3
LDHB	3
SLC17A5	3
EPHA2	3
LPO	3
TENM1	3
EMD	3
LYZ	3
SMAD6	3
NAT2	2
ABL1	2
ACKR3	2
TP53INP1	2
ESR1	2
ETV3	2
MCM3	2
MCM5	2
TKTL1	2
IDH1	2
WWOX	2
KCNIP3	2
ADA	2
F8	2
TRAF6	2
S100A9	2
S100A11	2
FANCB	2
NDUFA13	2
FBN1	2
ADRBK1	2
YAP1	2
PPP1R1B	2
CXCL9	2
KCNH2	2
FGF1	2
FGFR4	2
MMP13	2
SDC1	2
SDHB	2
ABCC1	2
SEPP1	2
FLT3	2
KAT5	2
ANXA5	2
NPY	2
APOE	2
FASLG	2
ACTB	2
SLC2A4	2
AREG	2
MADD	2
MSN	2
ARNT	2
RHOA	2
RHOB	2
THADA	2
CTSL	2
SLC16A2	2
G6PC	2
FOXP1	2
SNAI1	2
SFN	2
DKK4	2
MYB	2
BECN1	2
MBTPS1	2
ATP5O	2
CHI3L1	2
FADD	2
DDR1	2
EZH2	2
TNFRSF11A	2
TNFRSF10B	2
MTOR	2
HPSE	2
GFAP	2
CEACAM1	2
SNAI2	2
GHRH	2
ADCY3	2
AFAP1L2	2
BRCA1	2
BRCA2	2
SPRY2	2
TAC1	2
NRF1	2
TAF1	2
LPHN2	2
GOT2	2
CTLA4	2
NPM1	2
CALB2	2
PDGFRA	2
GPER1	2
NT5E	2
SOCS3	2
CASQ1	2
MUC5B	2
CAV2	2
TNFRSF11B	2
TGM2	2
DIO3	2
CD2	2
TIAM1	2
NARFL	2
PEBP1	2
NDRG1	2
TLR1	2
TLR2	2
CD83	2
PRDX1	2
CD40	2
CD63	2
HABP2	2
CDK1	2
TNFRSF1A	2
CDC25A	2
CDC25B	2
CDC42	2
AURKB	2
CDK6	2
PECAM1	2
HMGB1	2
TEP1	2
NR4A1	2
RXFP2	2
KRT8	2
TRIP11	2
STK4	2
TXN	2
GHSR	2
HPGD	2
LMOD1	2
SECISBP2	2
PLCG1	2
WDR3	2
PLXNA2	2
VCAM1	2
TNS3	2
VWF	2
CCL21	2
POT1	2
PTGES	2
TMPRSS4	2
CLDN4	2
XRCC4	2
CR1	2
CR2	2
CREBBP	2
MIR10B	2
CRP	2
UGT1A1	2
FRS2	2
ZEB1	2
ALK	2
IGFBP3	2
IGFBP4	2
IGFBP7	2
CYP2R1	2
CST3	2
CST4	2
PRKCA	2
XAF1	2
IL1A	2
CTSH	2
CTSK	2
IL5	2
NCL	2
IL7	2
PSPN	2
MIR34A	2
FOXM1	2
CD80	2
CYP7A1	2
CYP27A1	2
CD55	2
TLR4	2
ITGB1	2
CHEK2	2
DFFA	2
PTPN13	2
TINF2	2
BDNF	2
PHB	2
KLRC1	2
NR1I3	2
RAD52	2
KRT5	2
DYT10	2
DPYD	2
RAP1A	2
RAP1GAP	2
KCNE3	2
RBL2	2
DUSP6	2
STK11	2
ABCB6	2
E2F3	2
TRIM27	2
EDN1	2
RHO	2
FOSL1	2
RLN2	2
GAL	2
HDAC1	2
ILK	2
MIR130B	2
EGR1	2
TRIM21	2
EIF4E	2
SLC34A2	2
LSM7	2
CALCR	2
LRPAP1	2
PSME3	2
RXFP1	2
TRHR	2
CDK5	2
EPHB4	1
NIM1	1
EPOR	1
NRIP1	1
RPL29	1
ERCC1	1
ERCC2	1
BTD	1
PVRL3	1
ATP1A3	1
MINPP1	1
ERG	1
MAOA	1
APOD	1
SNAP25	1
CDKN2C	1
BAG1	1
ESR2	1
GSN	1
MB	1
MBD1	1
RPS8	1
LRRK2	1
ETS2	1
NAA10	1
MIRLET7A1	1
ETV6	1
MIR520C	1
MCM6	1
CD46	1
IFI16	1
NR2F6	1
MDH1	1
RREB1	1
IL1RAP	1
LRP1B	1
ADCY1	1
AKT2	1
RXRA	1
CNR2	1
IL32	1
AQP4	1
NOB1	1
RAB8A	1
ZNF331	1
FZD1	1
S100A8	1
S100A13	1
SYK	1
ERCC4	1
FASN	1
ERCC5	1
CAMK2N1	1
ERCC6	1
KITLG	1
DIO1	1
SATB1	1
CIITA	1
