GENE	FREQ
CALCA	696
RET	401
SST	120
TG	67
CEACAM3	47
POMC	47
GAST	42
CEACAM19	39
CHGA	37
ENO2	35
TXK	31
ELL	23
TP53	22
NTRK1	21
RASA1	21
SSTR1	19
AKT1	18
CALCB	18
GRP	18
GCG	17
EGFR	17
CCK	16
KDR	16
BCL2	14
MAPK1	13
CASP3	12
MAPK3	12
ASCL1	11
RAF1	11
ZHX2	10
SYP	10
CCKBR	10
CRH	10
MTOR	9
SSTR5	9
BRAF	9
VEGFA	9
ICT1	9
STAT3	8
CD4	8
CEACAM7	8
PSG2	8
PTH	8
RB1	8
MET	7
FLT1	7
MYC	7
SSTR2	7
NTS	7
HRAS	7
IL2	7
INS	7
PTGS2	7
PLEKHM1	7
SOAT1	6
SRI	6
CCND1	6
NOTCH1	6
CD8A	6
PCNA	6
CDKN1A	6
IGF1	6
EGF	6
PRL	6
MAP3K1	5
SSSCA1	5
NKX2-1	5
CDKN1B	5
SLC5A7	5
TSHR	5
VIP	5
IL4	5
JAK2	5
ANTXR2	5
OPN4	4
AOC1	4
RPS6KB1	4
PCYT1A	4
PARP1	4
FIGF	4
FLT4	4
MYCN	4
GFRA1	4
ABCB1	4
TPCN1	4
CGA	4
TSHB	4
PIK3CG	4
VIM	4
TNC	4
IAPP	4
WT1	4
CSF2	4
NRAS	4
PTCH1	4
KRT1	4
KRT3	4
E2F1	4
EDNRB	4
LIF	4
TPO	3
ACTN1	3
MEN1	3
MICU1	3
S100B	3
CFDP1	3
MKI67	3
SCT	3
IFNG	3
MT1A	3
RPIA	3
NPY	3
BAX	3
BCL2L1	3
SSTR3	3
GH1	3
PROM1	3
TAC1	3
NPY6R	3
CASR	3
CD5	3
TK1	3
TKT	3
CD34	3
REG3A	3
TNF	3
CDH1	3
HCRT	3
CDKN2A	3
CDKN2B	3
HGF	3
PDGFRB	3
SCN10A	3
TRH	3
LGALS3	3
VHL	3
IGHG3	3
MAP2K1	3
PSPN	3
PTGS1	3
JAK1	3
JUN	3
SCG2	3
KRAS	3
LNPEP	3
NAT2	2
ERBB2	2
EREG	2
RPS6	2
ESR1	2
RRAS	2
MDM2	2
F2	2
MMP2	2
SELL	2
FOS	2
SHC1	2
FAS	2
SLCO6A1	2
DKK1	2
SOD1	2
CENPJ	2
SPINK1	2
SRC	2
GDNF	2
