GENE	FREQ
TG	619
RET	408
BRAF	221
PTCH1	144
TSHB	141
NCOA4	88
TP53	78
RASA1	78
TSHR	66
LGALS3	65
MAPK1	60
KRT19	57
CCDC6	50
NKX2-1	44
NTRK1	41
AKT1	38
VEGFA	38
HBE1	35
PPBP	35
CCND1	31
TPO	31
EGFR	31
CDH1	30
CALCA	29
VIM	29
MET	28
TXK	27
HRAS	27
PAX8	27
PTCH2	23
ZHX2	22
TPCN1	21
MUC1	21
BCL2	21
MMP9	20
MKI67	19
MMP2	18
MAPK3	18
PPARG	17
FN1	17
SLC5A5	17
TP63	17
PCNA	17
EGF	17
APC	16
NRAS	16
TGFB1	16
VEGFC	16
MAP3K1	15
CD44	15
CDKN1A	15
MAP2K1	15
ERBB2	14
TKT	14
HGF	14
FIGF	14
PTEN	14
TIMP1	13
PTH	13
FOXE1	12
NCAM1	12
SST	12
CDKN1B	12
MIR146B	11
PIK3CB	11
PIK3CG	11
XRCC1	11
MAP2K7	11
CXCR4	11
RHOT2	11
FAP	10
CITED1	10
SLC2A1	10
C6orf15	10
SPP1	10
MIR221	10
PTGS2	10
RB1	10
MYC	10
CDKN2A	9
KRT76	9
SSSCA1	9
STAT3	9
GNAS	9
TDG	9
PPARA	9
IGF1	9
KRAS	9
ENO2	9
ESR1	8
FUT4	8
CENPJ	8
CD4	8
CD34	8
CD68	8
TNF	8
PIK3CA	8
KRT20	8
PLAUR	8
PLAU	8
MAPK4	8
MAPK6	8
MAP2K2	8
MAP2K6	8
ACTN1	7
MDM2	7
FGF2	7
ALB	7
FLT4	7
SRC	7
MIR222	7
CASP3	7
CAV1	7
TRH	7
PGR	7
MAPK8	7
IL6	7
PPP1R13L	7
KRT1	7
CEACAM19	7
LEP	7
PARP1	6
MMS	6
SOD2	6
GAPDH	6
BCL2L1	6
NFKB1	6
TERT	6
CD8A	6
TIMP2	6
RASSF1	6
WNT4	6
ICAM1	6
DPP4	6
KRT5	6
LRP5	6
TPM3	5
MIB1	5
CXCL12	5
XIAP	5
POMT1	5
ATM	5
SOD1	5
ERC1	5
BAX	5
BGLAP	5
TIMP3	5
HIF1A	5
PDGFB	5
PDGFRB	5
CEACAM3	5
CHKB	5
MMP1	5
GSTT1	5
IFNG	5
FLT1	5
PTK2	5
KIT	5
EFNA5	5
EMD	5
ABCA1	4
S100A4	4
ABCD2	4
SHC1	4
FAS	4
SLC4A3	4
SLC4A1	4
B3GAT1	4
CHGA	4
TNFSF10	4
KAT5	4
GLB1	4
NAE1	4
KRT4	4
NOS3	4
NOTCH1	4
S100A1	4
IL1B	4
MAP2K3	4
TGFA	4
THBS1	4
LOC100508689	4
PECAM1	4
HLA-F	4
ZNF77	4
TYRP1	4
SERPINA1	4
LMOD1	4
EIF2AK3	4
GSTM1	4
PLG	4
XRCC3	4
MIR146A	4
IGHG3	4
CLEC4G	4
PSMD9	4
INS	4
DBT	4
PTPRC	4
ANGPT2	4
DIO2	4
RAF1	4
KRT3	4
KRT7	4
DUSP6	4
ABCB6	4
FAF2	4
SNORA73A	4
LTA	4
EP300	4
EPHB2	3
ERBB3	3
ERBB4	3
ABL2	3
ESR2	3
IGF1R	3
RRAS	3
F2	3
S100A11	3
S100B	3
DIO1	3
HIST2H4A	3
SCN10A	3
CCL2	3
CCL20	3
FHIT	3
MMP14	3
ALPPP	3
ANGPT1	3
FOS	3
PKP4	3
TRIM33	3
RPIA	3
SNAI1	3
GSTK1	3
MUC2	3
MUC4	3
VSX1	3
SSTR1	3
SSTR2	3
SSTR3	3
ST3	3
CHNG3	3
SGSM3	3
NME1	3
NNMT	3
SFN	3
CTNNB1	3
PTK2B	3
RUNX3	3
TEK	3
TNFRSF11B	3
CCNA2	3
TGM2	3
CD5	3
NUDT6	3
MS4A1	3
TLR1	3
TLR4	3
SLC5A8	3
TPR	3
